TS_CODE,EXCHANGE,NAME,CLOSE,PCT_CHG,AMOUNT,FLOAT_MV,TOTAL_MV,TURNOVER_RATIO,LIMIT_TIMES,FIRST_TIME,LAST_TIME,FD_AMOUNT,OPEN_TIMES,INDUSTRY,UP_STAT,LIMIT,TRADE_DATE,PE,LIMIT_AMOUNT,SWING
600110.SH,SH,诺德股份,8.47,10.0,3082136176,14696982494.04,14696982460.160002,21.321300506591797,3.0,93042.0,101023.0,130958905.0,3,电池,3/3,U,20250819,,,
002298.SZ,SZ,中电鑫龙,12.44,9.991158485412598,2436916656,8131597775.04,9206979546.24,30.291337966918945,1.0,93130.0,95330.0,81798971.0,3,电网设备,4/6,U,20250819,,,
002397.SZ,SZ,梦洁股份,3.96,10.0,297014640,2426044448.52,2961214502.4,12.296095848083496,1.0,93130.0,101448.0,27435672.0,11,纺织服装,1/1,U,20250819,,,
002873.SZ,SZ,新天药业,15.19,9.992758750915527,437619200,3625379390.99,3707936813.14,12.272531509399414,3.0,93203.0,94221.0,42478546.0,1,中药,3/3,U,20250819,,,
600841.SH,SH,动力新科,7.58,10.014513969421387,180136855,7906125588.72,10519689183.36,2.301473379135132,1.0,93214.0,93214.0,38140286.0,0,汽车整车,1/1,U,20250819,,,
002364.SZ,SZ,中恒电气,24.97,10.0,3473156448,13935850887.199999,14072217051.199999,25.588468551635742,3.0,93230.0,144733.0,29010146.0,3,电源设备,4/7,U,20250819,,,
301321.SZ,SZ,翰博高新,19.32,20.0,167048639,2850977071.32,3601924200.0,6.041244029998779,1.0,93327.0,93327.0,59216302.0,0,光学光电,1/1,U,20250819,,,
300049.SZ,SZ,福瑞股份,72.23,20.00332260131836,1126836800,16865801932.660002,19139209257.0,6.824507236480713,2.0,93415.0,93415.0,134080549.0,0,医疗器械,2/2,U,20250819,,,
603186.SH,SH,华正新材,43.21,10.005091667175293,302874496,6136339686.67,6136339686.67,5.020869255065918,1.0,93423.0,93423.0,91010932.0,0,电子元件,1/1,U,20250819,,,
603083.SH,SH,剑桥科技,64.83,9.993213653564453,1316703744,17375726292.03,17375726292.03,7.745283603668213,2.0,93431.0,93534.0,93460483.0,1,通信设备,2/2,U,20250819,,,
002177.SZ,SZ,御银股份,7.51,9.956075668334961,1630816720,5025767956.139999,5716546632.96,32.71385192871094,1.0,93442.0,110554.0,103567406.0,2,计算机设,1/1,U,20250819,,,
600805.SH,SH,悦达投资,5.91,10.055866241455078,164143760,5025127424.88,5028786471.36,3.3443872928619385,1.0,93608.0,93608.0,33862148.0,0,综合行业,1/1,U,20250819,,,
300810.SZ,SZ,中科海讯,65.47,19.996334075927734,1908766064,7462709249.0,7728733500.0,26.092275619506836,2.0,93618.0,143045.0,6019966.0,27,软件开发,2/2,U,20250819,,,
002645.SZ,SZ,华宏科技,18.05,9.993906021118164,1752902256,9258712302.5,10498256595.2,19.136533737182617,3.0,93621.0,143039.0,59188819.0,9,环保行业,3/3,U,20250819,,,
600218.SH,SH,全柴动力,9.96,10.055248260498047,163192803,4338575193.240001,4338575203.200001,3.8655214309692383,1.0,93732.0,93732.0,51925942.0,0,汽车零部件,1/1,U,20250819,,,
600682.SH,SH,南京新百,8.82,9.975062370300293,278253808,10275831625.5,11872886215.68,2.7688117027282715,1.0,93732.0,93732.0,64117642.0,0,商业百货,1/1,U,20250819,,,
600503.SH,SH,华丽家族,3.26,10.13513469696045,351820800,5223465400.0,5223465400.0,6.884845733642578,1.0,93835.0,95829.0,58455708.0,1,房地产开发,1/1,U,20250819,,,
600835.SH,SH,上海机电,30.27,9.992733001708984,918288768,24412885161.0,30958318974.239998,3.8358266353607178,1.0,93925.0,94110.0,97064599.0,1,专用设备,1/1,U,20250819,,,
603798.SH,SH,康普顿,13.75,10.0,89779538,3526182687.5,3526182687.5,2.6194567680358887,1.0,94112.0,94112.0,59870250.0,0,石油行业,1/1,U,20250819,,,
003020.SZ,SZ,立方制药,37.0,9.98810863494873,323482192,5095807351.0,7036740734.0,6.493695259094238,1.0,94121.0,94121.0,83637094.0,0,化学制药,2/3,U,20250819,,,
002046.SZ,SZ,国机精工,36.81,10.011954307556152,1761756656,19409257818.81,19739982085.920002,9.29250431060791,2.0,94336.0,95542.0,93736333.0,3,通用设备,7/12,U,20250819,,,
600594.SH,SH,益佰制药,4.59,10.071942329406738,189303579,3634946766.0,3634946802.72,5.369569778442383,1.0,94451.0,94451.0,27927129.0,0,中药,1/1,U,20250819,,,
300404.SZ,SZ,博济医药,13.15,19.981752395629883,618103920,3689876350.3,5069991336.8,17.71194076538086,1.0,94503.0,94503.0,87230498.0,0,医疗服务,1/1,U,20250819,,,
002657.SZ,SZ,中科金财,42.74,10.012869834899902,3022920896,14375866723.36,14533822480.0,21.383636474609375,2.0,94515.0,141403.0,59210200.0,6,互联网服,3/4,U,20250819,,,
603811.SH,SH,诚意药业,16.82,10.006540298461914,513996128,5505258662.4,5505258662.4,9.540904998779297,1.0,94543.0,94543.0,111646870.0,0,化学制药,1/1,U,20250819,,,
002421.SZ,SZ,达实智能,3.8,10.144927024841309,988128416,7625431519.0,8058210201.599999,13.143156051635742,1.0,94903.0,100951.0,54849200.0,2,软件开发,1/1,U,20250819,,,
002131.SZ,SZ,利欧股份,4.88,9.909910202026367,5264232192,28546652910.16,33046280622.079998,18.894634246826172,2.0,95000.0,95000.0,519277862.0,0,互联网服,2/2,U,20250819,,,
