ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000053.SH,20250818,12270.9873,12287.1806,12351.9548,12248.5961,12251.1444,19.8429,0.162,190192420.0,334844899.82
000054.SH,20250818,1499.2477,1503.4659,1511.6042,1496.3067,1497.8161,1.4316,0.0956,83276714.0,125896780.693
000055.SH,20250818,1500.7509,1501.771,1512.9593,1494.0974,1495.6282,5.1227,0.3425,86740164.0,113645240.919
000056.SH,20250818,1171.9121,1173.4186,1180.1484,1169.2759,1168.7933,3.1188,0.2668,82601753.0,139208511.8
000057.SH,20250818,3497.5086,3492.9625,3527.7759,3488.5241,3480.4422,17.0664,0.4904,65739955.0,171267257.717
000058.SH,20250818,4631.8177,4636.3268,4658.0074,4619.9331,4622.4228,9.3949,0.2032,145036453.0,149960548.554
000059.SH,20250818,2993.1846,2982.9298,3018.7963,2970.7018,2967.7362,25.4484,0.8575,267506498.0,498447901.142
000060.SH,20250818,4326.068,4321.4917,4353.0302,4303.9008,4304.0575,22.0105,0.5114,346802995.0,477141191.979
000062.SH,20250818,2045.8274,2042.2149,2062.1992,2033.5055,2033.5139,12.3135,0.6055,33698908.0,62461939.769
000063.SH,20250818,3802.9744,3807.2275,3829.0339,3785.5337,3793.5562,9.4182,0.2483,76309460.0,119235923.607
000064.SH,20250818,3326.4653,3322.5254,3355.8237,3312.0046,3306.9014,19.5639,0.5916,83025013.0,202867376.811
000065.SH,20250818,3457.5393,3458.2786,3491.0433,3440.0652,3439.0629,18.4764,0.5373,131927037.0,205300420.301
000066.SH,20250818,2947.7533,2961.0589,2969.1201,2926.1573,2935.1823,12.571,0.4283,65658033.0,81179466.189
000067.SH,20250818,7694.0762,7660.4076,7772.5748,7616.5438,7594.9564,99.1198,1.3051,42813920.0,143464294.083
000068.SH,20250818,3188.9023,3207.6636,3212.4256,3165.5828,3173.4551,15.4472,0.4868,43179781.0,74303487.758
000069.SH,20250818,5005.1875,4992.6477,5044.3065,4990.5919,4973.0132,32.1743,0.647,26048880.0,80709808.059
000070.SH,20250818,2627.6963,2664.663,2666.1159,2623.8438,2645.3774,-17.6811,-0.6684,16846712.0,17085020.907
000071.SH,20250818,3778.2338,3777.6795,3813.9409,3731.7796,3747.4437,30.7901,0.8216,64300354.0,81472064.252
000072.SH,20250818,2835.512,2824.6002,2853.6237,2823.7672,2815.6164,19.8956,0.7066,46550323.0,48260240.877
000073.SH,20250818,3332.5601,3312.624,3360.5404,3310.891,3288.9967,43.5634,1.3245,24363175.0,42148358.51
000074.SH,20250818,7186.0879,7117.108,7206.9689,7117.108,7083.6988,102.3891,1.4454,5261525.0,21790514.624
000075.SH,20250818,7906.7148,7846.8291,7924.1172,7831.8857,7819.519,87.1958,1.1151,9942569.0,37524860.277
000076.SH,20250818,5852.2961,5841.3902,5883.2168,5818.0314,5838.3703,13.9258,0.2385,45021908.0,65649346.888
000077.SH,20250818,4984.4451,4894.7512,5035.9576,4843.7744,4854.1507,130.2944,2.6842,24206505.0,119135616.161
000078.SH,20250818,3211.1837,3178.3447,3229.2636,3177.8504,3168.3091,42.8746,1.3532,20682366.0,27496621.064
000079.SH,20250818,2435.2753,2431.9039,2448.5601,2430.5134,2423.8521,11.4232,0.4713,20490071.0,14015082.432
000090.SH,20250818,1356.4172,1350.5616,1364.594,1347.1567,1343.972,12.4452,0.926,761842485.0,1115906187.328
000091.SH,20250818,14054.7624,13891.7602,14079.9991,13891.7495,13797.5899,257.1725,1.8639,40265756.0,68103303.475
000092.SH,20250818,3856.1835,3885.8642,3889.8571,3837.249,3843.2115,12.972,0.3375,47842750.0,86116309.437
000093.SH,20250818,11591.4493,11589.8485,11676.9683,11555.0712,11527.5392,63.9101,0.5544,190192420.0,334844899.82
000094.SH,20250818,3471.4225,3507.7789,3509.0699,3460.1027,3465.5925,5.83,0.1682,42889095.0,73868821.681
000095.SH,20250818,3288.3844,3272.5196,3317.0075,3250.2904,3252.0877,36.2967,1.1161,125070503.0,258030725.717
000096.SH,20250818,4389.517,4366.8829,4420.9871,4366.3324,4352.6793,36.8377,0.8463,65032819.0,132051004.778
000097.SH,20250818,9460.0473,9401.8403,9543.1375,9335.9181,9334.2023,125.845,1.3482,34955244.0,140514761.723
000098.SH,20250818,5380.3454,5389.2967,5414.4437,5372.5143,5373.4915,6.8539,0.1276,221607956.0,272507242.167
000099.SH,20250818,8540.273,8527.8718,8595.4602,8507.3638,8482.9884,57.2846,0.6753,138467163.0,218668718.197
000100.SH,20250818,6031.9526,6038.902,6070.1771,6020.8801,6018.9511,13.0015,0.216,360075120.0,491175960.364
000102.SH,20250818,6185.1422,6226.1563,6237.1215,6168.0826,6168.8756,16.2666,0.2637,38953165.0,77643638.6
000103.SH,20250818,8446.8844,8423.4715,8494.163,8417.688,8408.9035,37.9809,0.4517,10409319.0,44838555.6
000104.SH,20250818,1316.4226,1335.9785,1336.7213,1313.4593,1330.6894,-14.2668,-1.0721,6393648.0,4377574.7
000105.SH,20250818,4595.417,4602.6785,4625.0858,4548.6026,4577.3163,18.1007,0.3954,22932825.0,35340341.3
000106.SH,20250818,5198.7331,5181.502,5229.6958,5162.6278,5149.2846,49.4485,0.9603,31821062.0,58532858.2
