ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000053.SH,20250820,12338.9629,12203.6964,12344.8149,12169.0889,12223.189,115.7739,0.9472,152220327.0,293673852.5
000054.SH,20250820,1498.9265,1480.7563,1499.6804,1477.5154,1482.3354,16.5911,1.1193,63192565.0,90974542.5
000055.SH,20250820,1516.8097,1494.5097,1517.5073,1492.5685,1496.5504,20.2593,1.3537,64478110.0,102147484.8
000056.SH,20250820,1177.0738,1164.7634,1177.6029,1161.1574,1166.3812,10.6926,0.9167,66502025.0,107041630.4
000057.SH,20250820,3526.1858,3468.3592,3526.229,3458.7498,3475.2423,50.9435,1.4659,55251553.0,156831794.9
000058.SH,20250820,4652.5445,4601.3686,4655.2392,4589.6057,4607.8295,44.715,0.9704,118499757.0,116121593.2
000059.SH,20250820,3027.2687,2971.4249,3027.3276,2963.6359,2980.8859,46.3828,1.556,212391541.0,447980731.0
000060.SH,20250820,4352.6212,4299.9225,4354.4725,4289.4778,4307.4251,45.1961,1.0493,275639745.0,407270529.3
000062.SH,20250820,2062.3848,2027.5813,2063.3256,2019.5007,2031.1593,31.2255,1.5373,25149231.0,52319665.2
000063.SH,20250820,3814.5912,3772.2332,3817.09,3764.0482,3777.0697,37.5215,0.9934,59360952.0,89473540.8
000064.SH,20250820,3365.7114,3305.4149,3365.9173,3295.8448,3313.1836,52.5278,1.5854,80216055.0,209211002.2
000065.SH,20250820,3483.836,3441.8263,3484.0284,3429.7099,3451.1941,32.6419,0.9458,108252774.0,180972371.6
000066.SH,20250820,2971.0725,2924.3031,2974.0586,2924.3031,2936.5305,34.542,1.1763,49043769.0,65659530.3
000067.SH,20250820,7779.676,7591.18,7780.7857,7575.4351,7606.8674,172.8086,2.2717,35556579.0,139929289.4
000068.SH,20250820,3207.2712,3161.0746,3215.2234,3161.0746,3177.5178,29.7534,0.9364,32181586.0,57898462.5
000069.SH,20250820,5075.7282,4985.643,5075.9756,4978.0519,4989.7723,85.9559,1.7226,34588724.0,93940125.7
000070.SH,20250820,2633.4643,2613.2844,2633.5231,2606.0661,2615.1432,18.3211,0.7006,12840503.0,10076990.6
000071.SH,20250820,3818.2143,3741.0866,3821.1142,3741.0866,3758.991,59.2233,1.5755,50316721.0,69042856.2
000072.SH,20250820,2844.9145,2825.3499,2845.1191,2812.108,2823.6748,21.2397,0.7522,39803403.0,44064841.5
000073.SH,20250820,3401.8593,3345.743,3402.4045,3335.772,3345.8803,55.979,1.6731,29723807.0,49763339.5
000074.SH,20250820,7426.9681,7248.5554,7439.452,7203.7368,7283.8538,143.1143,1.9648,7058056.0,27886157.4
000075.SH,20250820,7876.6564,7821.5395,7876.6564,7729.7767,7843.202,33.4544,0.4265,7919791.0,32517067.9
000076.SH,20250820,5874.2036,5815.4628,5879.8108,5796.6126,5823.3422,50.8614,0.8734,36298755.0,45244128.1
000077.SH,20250820,5141.4966,4924.0494,5146.808,4892.7924,4958.6307,182.8659,3.6878,22015462.0,117046344.6
000078.SH,20250820,3231.521,3211.0063,3231.7377,3179.3948,3205.2693,26.2517,0.819,13829246.0,20776473.6
000079.SH,20250820,2438.6889,2427.9862,2439.2052,2417.5932,2427.5449,11.144,0.4591,17450980.0,12344738.0
000090.SH,20250820,1368.56,1349.5465,1368.6912,1345.5597,1353.1311,15.4289,1.1402,669767705.0,1002659615.8
000091.SH,20250820,14311.7174,14144.3186,14311.7174,14090.5178,14182.3886,129.3288,0.9119,38751905.0,65209916.8
000092.SH,20250820,3889.1077,3824.0794,3890.2139,3824.0794,3838.9328,50.1749,1.307,36414257.0,68398724.2
000093.SH,20250820,11667.0826,11506.2454,11669.132,11482.9683,11549.9757,117.1069,1.0139,152220327.0,293673852.5
000094.SH,20250820,3480.7031,3432.6715,3484.4239,3431.2806,3446.9543,33.7488,0.9791,31991145.0,57614272.8
000095.SH,20250820,3346.8876,3266.2885,3346.9637,3253.7082,3277.3845,69.5031,2.1207,107662337.0,247042656.1
000096.SH,20250820,4427.0938,4368.812,4427.2768,4356.8564,4375.817,51.2768,1.1718,63984078.0,131447403.3
000097.SH,20250820,9702.7162,9445.7559,9706.2681,9410.4753,9472.0076,230.7086,2.4357,36057046.0,153396475.8
000098.SH,20250820,5415.8028,5355.8975,5417.7228,5342.7906,5364.3534,51.4494,0.9591,188708913.0,245544621.0
000099.SH,20250820,8640.8092,8523.7527,8640.8092,8493.6266,8537.188,103.6212,1.2138,118038368.0,194375081.8
000100.SH,20250820,6076.7159,6007.0974,6078.3225,5991.8946,6016.5836,60.1323,0.9994,306747282.0,439919702.8
000102.SH,20250820,6233.244,6146.1144,6235.0214,6139.4504,6151.2944,81.9496,1.3322,32744909.0,73064639.0
000103.SH,20250820,8534.9759,8396.9883,8534.9759,8379.1269,8428.4395,106.5364,1.264,10500017.0,47911562.0
000104.SH,20250820,1313.6112,1307.4848,1314.0286,1304.4037,1308.7173,4.8939,0.3739,4127284.0,2635426.2
000105.SH,20250820,4655.2959,4566.0435,4655.2959,4566.0435,4581.8099,73.486,1.6039,19292745.0,28794878.6
000106.SH,20250820,5245.9566,5179.8785,5245.9566,5162.5999,5189.1791,56.7775,1.0942,28042463.0,51711188.7
000107.SH,20250820,5640.4097,5583.1024,5648.645,5559.6932,5575.6644,64.7453,1.1612,14714142.0,23038790.1
000108.SH,20250820,12815.8479,12590.5771,12815.8479,12491.0852,12622.9095,192.9384,1.5285,4885718.0,9391083.2
000109.SH,20250820,11341.0464,11257.5864,11341.0464,11136.6651,11275.3204,65.726,0.5829,5851665.0,15509855.7
000110.SH,20250820,4484.8256,4420.8143,4484.8256,4407.6487,4432.2581,52.5675,1.186,13331039.0,12758185.5
000111.SH,20250820,9164.4997,8892.0971,9164.4997,8840.8837,8924.0081,240.4916,2.6949,10151778.0,38399016.0
000112.SH,20250820,5385.7348,5314.8244,5385.7348,5276.3656,5324.9052,60.8296,1.1424,4659509.0,14950942.5
000113.SH,20250820,2738.2163,2726.1383,2738.6299,2710.0799,2724.2912,13.9251,0.5111,9537335.0,5228821.0
000114.SH,20250820,1169.068,1168.7732,1171.2505,1155.9267,1164.1136,4.9544,0.4256,16943509.0,23343739.4
000115.SH,20250820,8224.0886,8120.2787,8224.0886,8090.4731,8138.6263,85.4623,1.0501,122577641.0,209569552.0
000117.SH,20250820,4038.7442,3961.8369,4038.7442,3945.092,3976.5874,62.1568,1.5631,21490913.0,64831040.3
000118.SH,20250820,9631.3962,9496.7816,9631.3962,9485.3401,9507.5634,123.8328,1.3025,44609730.0,39581107.1
000119.SH,20250820,4101.9911,4031.5256,4101.9911,4017.2898,4042.4258,59.5653,1.4735,85234657.0,181586562.7
000120.SH,20250820,9145.2424,9037.3442,9145.2424,9014.7181,9048.6049,96.6375,1.068,108353473.0,156336629.5
000121.SH,20250820,9073.0157,9011.3558,9073.0157,8914.2117,9030.6,42.4157,0.4697,8929580.0,34237969.4
000122.SH,20250820,1616.7527,1597.4162,1616.7527,1594.757,1599.846,16.9067,1.0568,6594921.0,5760207.7
000123.SH,20250820,6443.3662,6310.4989,6443.688,6291.4728,6340.6789,102.6873,1.6195,72498289.0,186889992.6
000125.SH,20250820,11657.7753,11551.4637,11664.3613,11525.171,11555.3037,102.4716,0.8868,76557809.0,101169398.1
000126.SH,20250820,8422.3718,8258.0853,8423.4777,8238.2097,8253.5682,168.8036,2.0452,28721018.0,68810488.1
000128.SH,20250820,8647.4292,8541.3599,8647.4292,8522.9933,8553.6729,93.7563,1.0961,122577641.0,209569552.0
000129.SH,20250820,15228.5711,15081.9288,15234.6524,15050.4364,15095.6838,132.8873,0.8803,102848309.0,108184101.7
000130.SH,20250820,13102.8589,12960.1277,13103.4559,12937.0488,12969.215,133.6439,1.0305,32852383.0,29617275.7
000131.SH,20250820,3741.3685,3668.4258,3745.4734,3616.9392,3738.9298,2.4387,0.0652,9788286.0,62225628.0
000132.SH,20250820,5672.3037,5566.6834,5672.3037,5541.3685,5582.9675,89.3362,1.6002,16843102.0,47952850.8
000133.SH,20250820,6237.123,6147.6447,6237.123,6090.9422,6176.3057,60.8173,0.9847,26674024.0,53574103.5
000134.SH,20250820,1081.2104,1075.9951,1088.7347,1073.0089,1076.6095,4.6009,0.4274,34135582.0,27898407.7
000135.SH,20250820,5910.9207,5812.4724,5911.7952,5784.6657,5821.3068,89.6139,1.5394,32770188.0,142725540.0
000136.SH,20250820,11943.2922,11825.2122,11952.3324,11815.5969,11865.2729,78.0193,0.6575,59591271.0,60817530.1
