TS_CODE,EXCHANGE,NAME,CLOSE,PCT_CHG,AMOUNT,FLOAT_MV,TOTAL_MV,TURNOVER_RATIO,LIMIT_TIMES,FIRST_TIME,LAST_TIME,FD_AMOUNT,OPEN_TIMES,INDUSTRY,UP_STAT,LIMIT,TRADE_DATE,PE,LIMIT_AMOUNT,SWING
002428.SZ,SZ,云南锗业,28.4,9.992254257202148,1850437984,18546211750.0,18548608000.0,10.164261817932129,2.0,93603.0,93603.0,295233307.0,0,小金属,2/2,U,20250820,,,
002953.SZ,SZ,日丰股份,12.61,10.034903526306152,187857932,3425349265.91,5761368373.28,5.603607177734375,1.0,93612.0,93612.0,118628373.0,0,电网设备,1/1,U,20250820,,,
002792.SZ,SZ,通宇通讯,19.29,9.977194786071777,1614357920,6053311528.62,10077740440.32,27.17351722717285,1.0,93630.0,133818.0,83691516.0,4,通信设备,1/1,U,20250820,,,
002114.SZ,SZ,罗平锌电,8.01,10.027472496032715,135461910,2590360492.23,2590396064.64,5.3815693855285645,1.0,93757.0,93757.0,56295865.0,0,有色金属,1/1,U,20250820,,,
002635.SZ,SZ,安洁科技,15.72,10.006998062133789,485959984,6215641500.240001,10370276244.48,7.938394069671631,1.0,93900.0,93900.0,39911508.0,0,消费电子,1/1,U,20250820,,,
002622.SZ,SZ,皓宸医疗,3.96,10.0,321582272,3326301990.0,3326400000.0,9.845247268676758,1.0,93933.0,93933.0,190298037.0,0,医疗服务,1/1,U,20250820,,,
301041.SZ,SZ,金百泽,34.04,19.98590087890625,569205808,2686458551.56,3631387200.0,22.20659828186035,1.0,94036.0,94036.0,66307775.0,0,电子元件,1/1,U,20250820,,,
002004.SZ,SZ,华邦健康,5.01,10.10988998413086,359501040,9426913339.289999,9919395111.84,3.8675241470336914,1.0,94057.0,94057.0,85474011.0,0,农药兽药,1/1,U,20250820,,,
605288.SH,SH,凯迪股份,64.88,10.00339126586914,117273757,4554505410.559999,4585265018.559999,2.6435394287109375,1.0,94337.0,94337.0,124321109.0,0,专用设备,1/1,U,20250820,,,
603444.SH,SH,吉比特,421.19,10.0,1196866416,30342991330.19,30342991330.19,4.012391567230225,1.0,94352.0,100001.0,25325733.0,1,游戏,1/1,U,20250820,,,
002576.SZ,SZ,通达动力,21.04,9.984317779541016,236027237,3409060093.8399997,3473704000.0,7.159974098205566,1.0,94451.0,94451.0,93459006.0,0,电机,1/1,U,20250820,,,
300893.SZ,SZ,松原安全,31.98,20.0,324258720,5065235352.06,10134913813.44,6.774747848510742,1.0,94557.0,94557.0,35618204.0,0,汽车零部件,1/1,U,20250820,,,
000799.SZ,SZ,酒鬼酒,63.47,10.0,2080324640,20621433465.6,20623242106.72,10.402995109558105,2.0,94612.0,100342.0,163056016.0,4,酿酒行业,2/2,U,20250820,,,
600660.SH,SH,福耀玻璃,61.35,10.005379676818848,3449240800,122883211468.2,160107765933.6,2.848681926727295,1.0,94830.0,100912.0,283126384.0,4,玻璃玻纤,1/1,U,20250820,,,
600503.SH,SH,华丽家族,3.59,10.122699737548828,1768892992,5752221100.0,5752221100.0,31.43168067932129,2.0,95024.0,145539.0,6765355.0,7,房地产开发,2/2,U,20250820,,,
002177.SZ,SZ,御银股份,8.26,9.986684799194336,1864079552,5574830634.38,6287440104.96,35.02522659301758,2.0,95042.0,112903.0,58552538.0,1,计算机设,2/2,U,20250820,,,
688657.SH,SH,浩辰软件,62.71,19.996173858642578,233322977,2532819211.29,4108401000.48,9.600841522216797,1.0,95127.0,95127.0,89575653.0,0,软件开发,1/1,U,20250820,,,
002167.SZ,SZ,东方锆业,14.62,10.007524490356445,1120566208,11073216699.06,11325723587.519999,10.506978034973145,1.0,95333.0,95333.0,138066133.0,0,小金属,1/1,U,20250820,,,
